,loss_train,loss_val,time_forecast
0,1.1429109573364258,1.0882830619812012,2.0
1,1.1023670434951782,1.0886378288269043,2.0
2,1.1201680898666382,1.0978540182113647,5.0
3,1.0774426460266113,1.0927326679229736,5.0
4,1.0864877700805664,1.0828173160552979,5.0
5,1.056553840637207,1.1020052433013916,3.0
6,1.0849826335906982,1.094261646270752,3.0
7,1.031037449836731,1.0788429975509644,4.0
8,1.02735435962677,1.0960595607757568,5.0
9,1.0798009634017944,1.0849498510360718,5.0
10,1.0823248624801636,1.091963529586792,5.0
11,1.0920079946517944,1.1006239652633667,2.0
12,1.0277758836746216,1.092612862586975,4.0
13,1.0510730743408203,1.1191645860671997,4.0
14,1.1456186771392822,1.1006749868392944,3.0
15,0.9524998664855957,1.0843110084533691,5.0
16,1.0869510173797607,1.10625422000885,4.0
17,1.1267223358154297,1.0885660648345947,2.0
18,1.0798450708389282,1.079694151878357,3.0
19,1.0703096389770508,1.1030409336090088,4.0
20,1.0084065198898315,1.1018688678741455,4.0
21,1.0571422576904297,1.0872005224227905,4.0
22,0.9707908034324646,1.1271076202392578,4.0
23,1.096730351448059,1.1061447858810425,3.0
24,1.0835907459259033,1.1036006212234497,4.0
25,1.0638067722320557,1.0907654762268066,3.0
26,1.1000163555145264,1.184662103652954,2.0
27,1.0799208879470825,1.1374917030334473,4.0
28,1.1196829080581665,1.0903180837631226,3.0
29,0.9845665097236633,1.057981014251709,5.0
30,1.2108173370361328,1.0393677949905396,2.0
31,1.1410951614379883,1.093860149383545,2.0
32,1.0279858112335205,0.9892695546150208,3.0
33,1.1171847581863403,1.048635482788086,2.0
34,1.0810457468032837,1.0905693769454956,3.0
35,1.0060741901397705,0.9922388195991516,5.0
36,0.9826260209083557,1.0330809354782104,2.0
37,0.983954668045044,0.9787324666976929,5.0
38,0.972422182559967,1.0856547355651855,5.0
39,0.9228456616401672,0.9389330744743347,3.0
40,0.9993439316749573,1.0250476598739624,3.0
41,0.9873417615890503,1.038144826889038,2.0
42,1.0611635446548462,0.9285466074943542,4.0
43,1.1053684949874878,1.0072746276855469,3.0
44,1.0132343769073486,0.9667356014251709,2.0
45,1.0705598592758179,1.0151199102401733,3.0
46,1.1634596586227417,0.9852351546287537,3.0
47,0.894639253616333,1.0070029497146606,3.0
48,0.9260461926460266,1.0510916709899902,5.0
49,0.9989079236984253,0.9845708608627319,4.0
